timestamp,seat_id,fused_motion_confidence,intensity,is_invigilator_motion,is_seat_vacated
48.5,seat_63,0.291,0.035,0,1
48.5,seat_61,0.0,0.271,0,1
48.5,seat_60,0.0,0.246,0,1
49.0,seat_66,0.0,0.263,0,1
49.0,seat_65,2.102,0.186,0,1
49.0,seat_64,1.027,0.301,0,1
49.0,seat_63,1.086,0.044,0,1
49.0,seat_61,0.0,0.28,0,1
49.0,seat_60,0.0,0.25,0,1
49.5,seat_66,0.0,0.258,0,1
49.5,seat_65,1.25,0.151,0,1
49.5,seat_64,0.787,0.277,0,1
49.5,seat_63,0.476,0.038,0,1
49.5,seat_61,0.0,0.278,0,1
49.5,seat_60,0.0,0.236,0,1
50.0,seat_66,0.017,0.271,0,1
50.0,seat_65,1.891,0.177,0,1
50.0,seat_64,0.866,0.286,0,1
50.0,seat_63,1.254,0.046,0,1
50.0,seat_61,0.0,0.291,0,1
50.0,seat_60,0.0,0.241,0,1
50.5,seat_66,0.0,0.264,0,1
50.5,seat_65,1.192,0.148,0,1
50.5,seat_64,0.778,0.278,0,1
50.5,seat_63,0.156,0.035,0,1
50.5,seat_61,0.0,0.292,0,1
50.5,seat_60,0.0,0.232,0,1
51.0,seat_66,0.075,0.274,0,1
51.0,seat_65,1.561,0.165,0,1
51.0,seat_64,0.778,0.278,0,1
51.0,seat_63,0.937,0.043,0,1
51.0,seat_61,0.0,0.297,0,1
51.0,seat_60,0.0,0.235,0,1
51.5,seat_66,0.0,0.252,0,1
51.5,seat_65,1.085,0.148,0,1
51.5,seat_64,0.534,0.255,0,1
51.5,seat_63,0.0,0.031,0,1
51.5,seat_61,0.0,0.263,0,1
51.5,seat_60,0.0,0.23,0,1
52.0,seat_66,0.0,0.254,0,1
52.0,seat_65,1.572,0.173,0,1
52.0,seat_64,0.712,0.271,0,1
52.0,seat_63,0.618,0.04,0,1
52.0,seat_61,0.0,0.263,0,1
52.0,seat_60,0.0,0.237,0,1
52.5,seat_66,0.0,0.241,0,1
52.5,seat_65,0.988,0.15,0,1
52.5,seat_64,0.539,0.256,0,1
52.5,seat_63,0.0,0.03,0,1
52.5,seat_61,0.0,0.247,0,1
52.5,seat_60,0.0,0.232,0,1
53.0,seat_66,0.0,0.254,0,1
53.0,seat_65,1.382,0.169,0,1
53.0,seat_64,0.554,0.257,0,1
53.0,seat_63,0.452,0.038,0,1
53.0,seat_61,0.0,0.256,0,1
53.0,seat_60,0.0,0.232,0,1
53.5,seat_66,0.0,0.256,0,1
53.5,seat_65,0.761,0.141,0,1
53.5,seat_64,0.411,0.244,0,1
53.5,seat_63,0.0,0.028,0,1
53.5,seat_61,0.0,0.256,0,1
53.5,seat_60,0.0,0.227,0,1
54.0,seat_66,0.555,0.29,0,1
54.0,seat_65,1.13,0.157,0,1
54.0,seat_64,0.623,0.264,0,1
54.0,seat_63,0.363,0.037,0,1
54.0,seat_61,0.682,0.355,0,1
54.0,seat_60,0.0,0.231,0,1
54.5,seat_66,0.0,0.27,0,1
54.5,seat_65,0.732,0.139,0,1
54.5,seat_64,0.379,0.251,0,1
54.5,seat_63,0.0,0.027,0,1
